FID,Field1,Aquifer,Station,Latitude,Longitude,Date,Cl,HCO3,SO4,NaK,Ca,Mg,TDS,Source
47,220,Edwards-Trinity Plateau,3959.000000000000000,30.897828000000001,-103.043398999999994,2017-07-24T00:00:00.000000000,31.393676134600735,5.081967213114754,18.382812174709581,24.906128408848424,15.619541893308048,10.779674963999177,3333.000000000000000,MPGCD
48,222,Edwards-Trinity Plateau,6770.000000000000000,30.860949000000002,-102.896580000000000,2019-03-18T00:00:00.000000000,6.995176712831071,5.032786885245901,10.242744722488238,11.272978511384729,8.383651878836268,5.184118494137009,1543.000000000000000,MPGCD
49,226,Edwards-Trinity Plateau,6286.000000000000000,30.918330000000001,-102.885599999999997,2011-01-08T00:00:00.000000000,11.790257524045918,4.426229508196721,10.700753632843403,12.314700410710611,9.331802984180847,5.430981279572104,1745.000000000000000,MPGCD
50,233,Edwards-Trinity Plateau,4849.000000000000000,30.892875000000000,-103.063360000000003,2014-12-04T00:00:00.000000000,17.318703635799508,4.803278688524590,15.509847191572636,16.092963783269205,14.172363890413692,7.652746348487965,2406.000000000000000,MPGCD
51,241,Pecos Valley,7155.000000000000000,30.879033000000000,-103.071088000000003,2014-02-14T00:00:00.000000000,0.676952585112684,2.065573770491803,1.832035641420660,1.041721899325882,2.944258695543690,0.740588356305287,337.000000000000000,MPGCD
52,253,Edwards-Trinity Plateau,4260.000000000000000,30.855575999999999,-102.896152000000001,2017-08-31T00:00:00.000000000,13.115956336558259,4.081967213114754,14.260731981513095,11.976873537433619,13.224212785069115,6.253857231022423,2030.000000000000000,MPGCD
53,256,Edwards-Trinity Plateau,4108.000000000000000,30.893052999999998,-102.851423999999994,2013-07-11T00:00:00.000000000,11.338955800637462,3.098360655737705,12.532789274264063,10.906910358612830,9.830829881730624,5.266406089282041,1711.000000000000000,MPGCD
54,264,Edwards-Trinity Plateau,4277.000000000000000,30.888476000000001,-102.915854999999993,2012-12-19T00:00:00.000000000,2.820635771302852,4.655737704918033,1.832035641420660,2.754124658125143,4.441339388193024,1.316601522320510,643.000000000000000,MPGCD
55,282,Edwards-Trinity Plateau,6265.000000000000000,30.830096999999999,-103.061623999999995,2013-08-30T00:00:00.000000000,1.466730601077483,7.508196721311475,3.018695090977225,7.105734753860565,2.844453316033734,1.728039498045670,902.000000000000000,MPGCD
56,314,Edwards-Trinity Plateau,4392.000000000000000,30.901389999999999,-102.909199999999998,2020-07-08T00:00:00.000000000,23.608721405804868,4.967213114754099,19.777657492609404,17.347293300301253,15.020709616248315,10.203661797983955,2925.000000000000000,MPGCD
57,316,Edwards-Trinity Plateau,6275.000000000000000,30.880555999999999,-103.006670000000000,2018-01-24T00:00:00.000000000,13.680083490818829,4.934426229508197,20.256484989798892,17.416386157102895,14.471780028943559,11.026537749434272,2591.000000000000000,MPGCD
58,317,Edwards-Trinity Plateau,6767.000000000000000,30.867493000000000,-103.006737000000001,2020-07-08T00:00:00.000000000,13.144162694271287,5.459016393442623,17.716617396011159,17.296139788612674,13.324018164579069,10.039086607693891,2447.000000000000000,MPGCD
59,318,Edwards-Trinity Plateau,6277.000000000000000,30.866388000000001,-103.006670000000000,2020-07-08T00:00:00.000000000,12.692860970862831,5.327868852459017,19.631927384769121,18.565744127107173,14.721293477718447,10.615099773709114,2579.000000000000000,MPGCD
60,320,Edwards-Trinity Plateau,6280.000000000000000,30.864720999999999,-103.008330000000001,2019-07-24T00:00:00.000000000,14.780131441626942,4.967213114754099,21.068409876337594,13.343812012224666,14.272169269923648,8.969347870808475,2548.000000000000000,MPGCD
61,321,Edwards-Trinity Plateau,6281.000000000000000,30.865278000000000,-103.010800000000003,2020-07-08T00:00:00.000000000,19.039291456294247,4.934426229508197,18.757546737727445,18.747445941667813,19.162632865911473,10.944250154289241,2832.000000000000000,MPGCD
62,322,Edwards-Trinity Plateau,6274.000000000000000,30.873888000000001,-103.009450000000001,2019-03-18T00:00:00.000000000,11.762051166332890,4.803278688524590,22.983719865095559,15.171488252433543,17.266330655222315,10.532812178564082,2643.000000000000000,MPGCD
63,336,Edwards-Trinity Plateau,4801.000000000000000,30.872664000000000,-102.911629000000005,2008-01-28T00:00:00.000000000,19.829069472259047,5.557377049180328,20.423033684473499,16.668975030096654,13.872947751883826,11.684838510594528,2832.000000000000000,MPGCD
64,337,Edwards-Trinity Plateau,4799.000000000000000,30.877143000000000,-102.916681999999994,2008-01-28T00:00:00.000000000,15.626322173017797,5.180327868852459,11.491859932547779,13.801885253991877,9.381705673935825,5.430981279572104,2003.000000000000000,MPGCD
65,344,Edwards-Trinity Plateau,6310.000000000000000,30.906110000000002,-102.900755000000004,2020-02-21T00:00:00.000000000,8.349081883056440,5.327868852459017,14.094183286838490,15.066516705405768,11.327910574379958,6.583007611602551,1959.000000000000000,MPGCD
66,352,Edwards-Trinity Plateau,5296.000000000000000,30.863399999999999,-102.911450000000002,2007-04-14T00:00:00.000000000,0.620539869686627,3.934426229508197,0.999292168047633,0.729471781893180,3.393382903338490,1.810327093190702,420.000000000000000,MPGCD
67,354,Edwards-Trinity Plateau,3971.000000000000000,30.877649000000002,-102.861722000000000,2007-09-27T00:00:00.000000000,12.777480044001917,4.327868852459017,16.300953491277014,13.000656091646436,14.272169269923648,7.159020777617775,2181.000000000000000,MPGCD
68,358,Edwards-Trinity Plateau,5266.000000000000000,30.868330000000000,-103.006900000000002,2018-06-18T00:00:00.000000000,17.262290920373452,5.016393442622951,16.509139359620271,17.129712795514482,13.473726233844003,9.298498251388603,2496.000000000000000,MPGCD
69,359,Edwards-Trinity Plateau,5267.000000000000000,30.868330000000000,-103.006900000000002,2020-07-08T00:00:00.000000000,12.241559247454376,5.393442622950820,21.880334762876295,18.939449690610292,14.172363890413692,9.627648631968730,2658.000000000000000,MPGCD
70,370,Edwards-Trinity Plateau,4284.000000000000000,30.783890000000000,-103.044200000000004,2020-08-19T00:00:00.000000000,16.669957408399853,4.737704918032787,9.722280051630095,14.656932451676514,8.683068017366136,4.937255708701914,1925.000000000000000,MPGCD
71,413,Edwards-Trinity Plateau,4835.000000000000000,30.730000000000000,-103.025800000000004,2020-08-19T00:00:00.000000000,12.974924547993117,4.836065573770492,11.783320148228338,10.794301400853831,11.377813264134936,4.032092162106562,1850.000000000000000,MPGCD
72,414,Edwards-Trinity Plateau,4851.000000000000000,30.885829999999999,-102.983599999999996,2008-07-25T00:00:00.000000000,10.238907849829351,4.295081967213115,8.181704625889994,11.367648124030659,8.034333050551425,4.196667352396626,1497.000000000000000,MPGCD
73,415,Edwards-Trinity Plateau,6777.000000000000000,30.897645000000001,-103.053528999999997,2018-06-18T00:00:00.000000000,21.352212788762586,4.819672131147541,17.987259024857394,20.321662986863785,15.020709616248315,9.298498251388603,2805.000000000000000,MPGCD
